epoch,train_mse,val_mse,val_mae
1,0.3996845980733633,0.11428400880098342,0.24610177326202393
2,0.1409436092302203,0.07431763446331024,0.20411023545265197
3,0.0989667918868363,0.05295988440513611,0.1605919018983841
4,0.08425641202554107,0.039621721655130386,0.13671335768699647
5,0.07826270265504717,0.04347690495848656,0.14894158589839934
6,0.07218413027375936,0.03658903330564499,0.1318703258037567
7,0.06529746540263295,0.03671665528416634,0.14189874076843262
8,0.05954838604107499,0.02860423594713211,0.11653369629383087
9,0.05223885475099087,0.03364755333960056,0.13698488748073578
10,0.04916938013583422,0.0278264427036047,0.11520424485206604
11,0.05107572913169861,0.025304712891578676,0.10907661366462708
12,0.0459689843505621,0.026898523345589637,0.11881264865398407
13,0.04481201323401183,0.025719762429594995,0.11542973810434341
14,0.04069746739417315,0.025195189125835897,0.10863238447904587
15,0.038738100292161105,0.023192648202180862,0.10599596881866455
16,0.03840539974719286,0.023092343598604202,0.10554347580671311
17,0.03656260299123824,0.022295118525624276,0.10760587340593337
18,0.03419520347006619,0.028511852905154227,0.12531334346532821
19,0.034511249621398746,0.024559840112924575,0.11501280695199967
20,0.03283195347711444,0.030175086617469787,0.1302536189556122
21,0.032900663786567745,0.02187073615193367,0.10121489709615708
22,0.030661941818892955,0.01884816733747721,0.09084005725383759
23,0.029286754246801137,0.019643475338816642,0.0971123777627945
24,0.028604284641332925,0.018459439486265182,0.09366927307844163
25,0.028280155995860697,0.02152804858982563,0.10501856291294098
26,0.02874838942568749,0.019586694173514843,0.10020181488990784
27,0.0265027869977057,0.018121577620506285,0.09348289769887924
28,0.027458334231749176,0.01834058377891779,0.09574729192256927
29,0.02517561629228294,0.019373763889074327,0.09542215895652771
30,0.024197807130403818,0.01967240310460329,0.1025845023393631
31,0.02368181126844138,0.01647908028960228,0.08462599247694015
32,0.023988072023727,0.017179325103759767,0.0926209909915924
33,0.023979777987115085,0.01694100621342659,0.09271583497524262
34,0.023665614844299854,0.01933786854892969,0.09884744572639466
35,0.021709509785287084,0.017195296578109264,0.0908282573223114
36,0.02241490491759032,0.015763711653649808,0.08495077097415923
37,0.022228079062886538,0.015542815998196602,0.08440415394306183
38,0.0214294058624655,0.01934774984419346,0.10308050626516342
39,0.020643256132490934,0.015707313537597658,0.08676850247383118
40,0.019443627597764135,0.016703184880316257,0.08801257473230362
41,0.020656392860691996,0.016463811941444875,0.087233194231987
42,0.01962717387638986,0.015646949589252473,0.09155738627910615
43,0.019777039363980294,0.015220371946692467,0.0846704528927803
44,0.018466041389852764,0.018766092360019682,0.09944760990142822
45,0.019646850975230338,0.018427383601665497,0.09974337553977966
46,0.018783236870542168,0.01469459230452776,0.08408758270740509
47,0.018361733488738537,0.014344805799424648,0.08075591975450516
48,0.018464683851692826,0.013901158221065997,0.0801871059536934
49,0.017526360704097896,0.020303779885172842,0.10617751866579056
50,0.017289623791351915,0.023728370085358618,0.1059862671494484
51,0.017457127711735666,0.017088932409882546,0.08914624154567719
52,0.01737446739105508,0.013677036859095097,0.07566655337810517
53,0.017113774894736707,0.021341593638062477,0.09997002530097962
54,0.016826624787412585,0.013238263875246048,0.07356043702363968
55,0.015459170731715858,0.018625613875687123,0.09437577110528945
56,0.01635520661994815,0.013698499217629433,0.07846973484754563
57,0.01607527608331293,0.014781414546072484,0.08071298599243164
58,0.016073540426790715,0.014418833702802659,0.08332991868257522
59,0.01548166533652693,0.014777847200632094,0.08310988253355026
60,0.015287907985504716,0.012331687573343516,0.07454607635736465
61,0.015020454346202314,0.015264919802546502,0.08837290006875992
62,0.01571035078726709,0.015926852330565452,0.09129300117492675
63,0.014641275676898659,0.013214495159685612,0.07514892655611038
64,0.014758486952632665,0.014578127868473529,0.07798931568861008
65,0.014952407621312886,0.015125611685216428,0.08832114505767823
66,0.014419118843972683,0.013739598795771598,0.07849737119674682
67,0.014589944339357317,0.013417538803070783,0.07486621123552323
68,0.01422767125023529,0.01268871721252799,0.07528313004970551
69,0.014540757611393928,0.012387581072747707,0.07353898191452027
70,0.013606874008197337,0.012523132178932429,0.07667151421308517
71,0.01334071894409135,0.016049253202974796,0.08962406593561173
72,0.01331823449442163,0.01261811176687479,0.07420212149620056
73,0.013050223343539983,0.012573171086609363,0.07785726058483124
74,0.01326031896006316,0.013651887774467469,0.07796359968185425
75,0.012735078915953636,0.012140191245824099,0.07134084796905518
76,0.01287023531878367,0.014241804458200932,0.07835018998384476
77,0.012889486582949758,0.01175576451793313,0.07257650989294052
78,0.013058884973172098,0.013661926671862602,0.08038473349809647
79,0.012283279069233686,0.011833146214485168,0.0732749382853508
80,0.012612925052642823,0.013878612160682677,0.08074917083978653
81,0.012757942418102176,0.012981401324272156,0.07598787307739258
82,0.01244594947854057,0.011673681303858758,0.06836238592863082
83,0.012166845062281936,0.012441638272255659,0.06992646968364716
84,0.01193666658969596,0.01232656517252326,0.07197498717904091
85,0.01171652506198734,0.016453005947172642,0.09626201283931732
86,0.012151786205358804,0.013332568321377039,0.07469696855545044
87,0.011690723169129343,0.014065558269619942,0.08223287504911422
88,0.012039463269524276,0.012308066681027413,0.07006180626153946
89,0.011752233777195215,0.01288593078032136,0.07147902166843415
90,0.01124424268770963,0.015639484241604804,0.0937021347284317
91,0.012000584040302784,0.011718829069286585,0.0691542055606842
92,0.011303336246404797,0.011235794994980097,0.06586155048012733
93,0.01084081894112751,0.013100503273308277,0.07202837705612182
94,0.01125223104050383,0.011018746644258498,0.06777534711360932
95,0.01074001401104033,0.011608699083328247,0.06984134638309479
96,0.011185612153727561,0.012654913924634456,0.07661092674732209
97,0.010902146567590535,0.01176259833574295,0.06946311366558075
98,0.011077147335745394,0.012571941699832678,0.07327025187015533
99,0.010522832607850433,0.01305520823597908,0.07300608438253403
100,0.010729289350565522,0.013873157184571027,0.07465110325813293
