material_id,reason
mp-868422,API did not return this material
mp-771662,API did not return this material
mp-15371,API did not return this material
mp-771421,API did not return this material
mp-652866,API did not return this material
mp-540301,API did not return this material
mp-778416,API did not return this material
mp-777530,API did not return this material
mp-767347,API did not return this material
mp-25545,API did not return this material
mp-762312,API did not return this material
mp-778780,API did not return this material
mp-773543,API did not return this material
mp-780834,API did not return this material
mp-849359,API did not return this material
mp-767549,API did not return this material
mp-763486,API did not return this material
mp-771507,API did not return this material
mp-579370,API did not return this material
mp-775228,API did not return this material
mp-863886,API did not return this material
mp-25155,API did not return this material
mp-771842,API did not return this material
mp-761397,API did not return this material
mp-774141,API did not return this material
mp-583029,API did not return this material
mp-654373,API did not return this material
mp-775105,API did not return this material
mp-775685,API did not return this material
mp-868388,API did not return this material
mp-565801,API did not return this material
mp-763352,API did not return this material
mp-772399,API did not return this material
mp-604440,API did not return this material
mp-19538,API did not return this material
mp-619770,API did not return this material
mp-722729,API did not return this material
mp-764210,API did not return this material
mp-771765,API did not return this material
mp-772691,API did not return this material
mp-705344,API did not return this material
mp-773382,API did not return this material
mp-763682,API did not return this material
mp-868380,API did not return this material
mp-565779,API did not return this material
mp-763006,API did not return this material
mp-504104,API did not return this material
mp-629701,API did not return this material
mp-744533,API did not return this material
mp-715436,API did not return this material
mp-763306,API did not return this material
mp-607031,API did not return this material
mp-565394,API did not return this material
mp-744439,API did not return this material
mp-868821,API did not return this material
mp-24845,API did not return this material
mp-763061,API did not return this material
mp-765950,API did not return this material
mp-781059,API did not return this material
mp-850882,API did not return this material
mp-705510,API did not return this material
mp-690635,API did not return this material
mp-779831,API did not return this material
mp-777050,API did not return this material
mp-772696,API did not return this material
mp-778640,API did not return this material
mp-763185,API did not return this material
mp-764396,API did not return this material
mp-853224,API did not return this material
mp-775045,API did not return this material
mp-566881,API did not return this material
mp-510302,API did not return this material
mp-585220,API did not return this material
mp-776721,API did not return this material
mp-761822,API did not return this material
mp-697691,API did not return this material
mp-25499,API did not return this material
mp-771684,API did not return this material
mp-772374,API did not return this material
mp-776798,API did not return this material
mp-31970,API did not return this material
mp-773698,API did not return this material
mp-764205,API did not return this material
mp-562247,API did not return this material
mp-770397,API did not return this material
mp-763958,API did not return this material
mp-764455,API did not return this material
mp-32004,API did not return this material
mp-849676,API did not return this material
mp-763320,API did not return this material
mp-767893,API did not return this material
mp-763492,API did not return this material
mp-619127,API did not return this material
mp-766846,API did not return this material
mp-764110,API did not return this material
mp-767342,API did not return this material
mp-766111,API did not return this material
mp-868361,API did not return this material
mp-31531,API did not return this material
mp-31935,API did not return this material
mp-775847,API did not return this material
mp-32538,API did not return this material
mp-771984,API did not return this material
mp-25751,API did not return this material
mp-566047,API did not return this material
mp-777974,API did not return this material
mp-566470,API did not return this material
mp-744644,API did not return this material
mp-776906,API did not return this material
mp-764447,API did not return this material
mp-773262,API did not return this material
mp-565489,API did not return this material
mp-699331,API did not return this material
mp-763167,API did not return this material
mp-776882,API did not return this material
mp-743637,API did not return this material
mp-763552,API did not return this material
mp-770003,API did not return this material
mp-770060,API did not return this material
mp-764871,API did not return this material
mp-19643,API did not return this material
mp-763591,API did not return this material
mp-761336,API did not return this material
mp-764207,API did not return this material
mp-162,formation_energy_per_atom is None
mp-774019,API did not return this material
mp-771869,API did not return this material
mp-774089,API did not return this material
mp-761385,API did not return this material
mp-766824,API did not return this material
mp-765754,API did not return this material
mp-763171,API did not return this material
mp-25656,API did not return this material
mp-565702,API did not return this material
mp-764806,API did not return this material
mp-765757,API did not return this material
mp-780677,API did not return this material
mp-763837,API did not return this material
mp-761485,API did not return this material
mp-853151,API did not return this material
mp-762431,API did not return this material
mp-780752,API did not return this material
mp-773449,API did not return this material
mp-850764,API did not return this material
mp-770002,API did not return this material
mp-761599,API did not return this material
mp-775694,API did not return this material
mp-613820,API did not return this material
mp-771806,API did not return this material
mp-715561,API did not return this material
mp-566725,API did not return this material
mp-675127,API did not return this material
mp-764421,API did not return this material
mp-767110,API did not return this material
mp-778628,API did not return this material
mp-868467,API did not return this material
mp-767651,API did not return this material
mp-32312,API did not return this material
mp-867192,API did not return this material
mp-868648,API did not return this material
mp-778704,API did not return this material
mp-561691,API did not return this material
mp-775499,API did not return this material
mp-777221,API did not return this material
mp-850449,API did not return this material
mp-540234,API did not return this material
mp-778582,API did not return this material
mp-25029,API did not return this material
mp-543104,API did not return this material
mp-761768,API did not return this material
mp-761997,API did not return this material
mp-765516,API did not return this material
mp-776869,API did not return this material
mp-566070,API did not return this material
mp-761308,API did not return this material
mp-770601,API did not return this material
mp-771402,API did not return this material
mp-778781,API did not return this material
mp-770026,API did not return this material
mp-31923,API did not return this material
mp-695026,API did not return this material
mp-770316,API did not return this material
mp-767034,API did not return this material
mp-778897,API did not return this material
mp-510537,API did not return this material
mp-566190,API did not return this material
mp-565625,API did not return this material
mp-764479,API did not return this material
mp-608717,API did not return this material
mp-541418,API did not return this material
mp-763566,API did not return this material
mp-767899,API did not return this material
mp-767187,API did not return this material
mp-25039,API did not return this material
mp-767834,API did not return this material
mp-850429,API did not return this material
mp-761413,API did not return this material
mp-566321,API did not return this material
mp-850455,API did not return this material
mp-765436,API did not return this material
mp-31994,API did not return this material
mp-770244,API did not return this material
mp-765990,API did not return this material
mp-771490,API did not return this material
mp-744256,API did not return this material
mp-771863,API did not return this material
mp-850133,API did not return this material
mp-775675,API did not return this material
mp-764100,API did not return this material
mp-32482,API did not return this material
mp-765432,API did not return this material
mp-704112,API did not return this material
mp-772247,API did not return this material
mp-767926,API did not return this material
mp-773317,API did not return this material
mp-31702,API did not return this material
mp-767923,API did not return this material
mp-566189,API did not return this material
mp-32329,API did not return this material
mp-561628,API did not return this material
mp-765862,API did not return this material
mp-775407,API did not return this material
mp-764923,API did not return this material
mp-780805,API did not return this material
mp-767252,API did not return this material
mp-763568,API did not return this material
mp-761810,API did not return this material
mp-766744,API did not return this material
mp-772013,API did not return this material
mp-540147,API did not return this material
mp-769906,API did not return this material
mp-566537,API did not return this material
mp-779804,API did not return this material
mp-566977,API did not return this material
mp-24943,API did not return this material
mp-566356,API did not return this material
mp-541297,API did not return this material
mp-867303,API did not return this material
mp-31704,API did not return this material
mp-776888,API did not return this material
mp-772245,API did not return this material
mp-31521,API did not return this material
mp-773408,API did not return this material
mp-765890,API did not return this material
mp-769883,API did not return this material
mp-744430,API did not return this material
mp-778799,API did not return this material
mp-698563,API did not return this material
mp-762709,API did not return this material
mp-777493,API did not return this material
mp-868565,API did not return this material
mp-776111,API did not return this material
mp-25182,API did not return this material
mp-780442,API did not return this material
mp-775051,API did not return this material
mp-771672,API did not return this material
mp-868383,API did not return this material
mp-769900,API did not return this material
mp-25176,API did not return this material
mp-504983,API did not return this material
mp-773758,API did not return this material
mp-850143,API did not return this material
mp-763947,API did not return this material
mp-565994,API did not return this material
mp-743780,API did not return this material
mp-771596,API did not return this material
mp-561637,API did not return this material
mp-771560,API did not return this material
mp-565192,API did not return this material
mp-772701,API did not return this material
